Timestamp (ms),Date & Time,Machine Id,Alert ID,Value,Alert Name,Flag
1733221841782,2024-12-03 16:00:41.782417,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,"current: 1.6, voltage: 423.73",Increase Power cunsuption at night,yellow
1733221924182,2024-12-03 16:02:04.182284,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,"current: 1.54, voltage: 425.35",Increase Power cunsuption at night,yellow
1733222074954,2024-12-03 16:04:34.954634,66e03c39431bd909598197d54,b8eb872a-38d0-4ff2-98bf-2b957e61a007,current: 2.11,Healthy current,yellow
1733222418429,2024-12-03 16:10:18.429939,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,"current: 1.11, voltage: 425.4",Increase Power cunsuption at night,yellow
1733222638115,2024-12-03 16:13:58.115574,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,"current: 1.08, voltage: 424.74",Increase Power cunsuption at night,yellow
1733222774444,2024-12-03 16:16:14.444156,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 424.75,Normal Voltage,blue
1733222815848,2024-12-03 16:16:55.848610,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,"current: 1.92, voltage: 425.24",Increase Power cunsuption at night,yellow
1733223178607,2024-12-03 16:22:58.607718,66e03c39431bd909598197d54,b8eb872a-38d0-4ff2-98bf-2b957e61a007,current: 2.46,Healthy current,yellow
1733223178611,2024-12-03 16:22:58.611240,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,"current: 2.46, voltage: 426.1",Increase Power cunsuption at night,yellow
1733223379992,2024-12-03 16:26:19.992153,66e03c39431bd909598197d54,b8eb872a-38d0-4ff2-98bf-2b957e61a007,current: 2.19,Healthy current,yellow
1733223379994,2024-12-03 16:26:19.994597,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,"current: 2.19, voltage: 426.87",Increase Power cunsuption at night,yellow
1733223407481,2024-12-03 16:26:47.481458,66e03c39431bd909598197d54,b8eb872a-38d0-4ff2-98bf-2b957e61a007,current: 2.2,Healthy current,yellow
1733223407484,2024-12-03 16:26:47.484460,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,"current: 2.2, voltage: 426.31",Increase Power cunsuption at night,yellow
1733223529213,2024-12-03 16:28:49.214002,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,"current: 1.66, voltage: 427.58",Increase Power cunsuption at night,yellow
1733223776323,2024-12-03 16:32:56.323932,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,"current: 1.67, voltage: 429.87",Increase Power cunsuption at night,yellow
1733223831223,2024-12-03 16:33:51.223312,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.65,Increase Power cunsuption at night,yellow
1733224182854,2024-12-03 16:39:42.854246,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.78,Increase Power cunsuption at night,yellow
1733224964310,2024-12-03 16:52:44.310181,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.2,Increase Power cunsuption at night,yellow
1733225287143,2024-12-03 16:58:07.143086,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.16,Increase Power cunsuption at night,yellow
1733226220323,2024-12-03 17:13:40.323446,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.72,Increase Power cunsuption at night,yellow
1733226470472,2024-12-03 17:17:50.472034,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.67,Increase Power cunsuption at night,yellow
1733226772554,2024-12-03 17:22:52.554349,66e03c39431bd909598197d54,b8eb872a-38d0-4ff2-98bf-2b957e61a007,current: 2.39,Healthy current,yellow
1733226909893,2024-12-03 17:25:09.893480,66e03c39431bd909598197d54,b8eb872a-38d0-4ff2-98bf-2b957e61a007,current: 2.43,Healthy current,yellow
1733227601505,2024-12-03 17:36:41.505510,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.69,Increase Power cunsuption at night,yellow
1733227808694,2024-12-03 17:40:08.694446,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.64,Increase Power cunsuption at night,yellow
1733228550248,2024-12-03 17:52:30.248037,66e03c39431bd909598197d54,b8eb872a-38d0-4ff2-98bf-2b957e61a007,current: 2.1,Healthy current,yellow
1733228605174,2024-12-03 17:53:25.174927,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.82,Increase Power cunsuption at night,yellow
1733229689432,2024-12-03 18:11:29.432611,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.65,Spike occur in current,yellow
1733229744358,2024-12-03 18:12:24.358732,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.67,Spike occur in current,yellow
