Timestamp (ms),Date & Time,Machine Id,Alert ID,Value,Alert Name,Flag
1732966288854,2024-11-30 17:01:28.854715,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 440.44,High Voltage,blue
1732967350120,2024-11-30 17:19:10.120271,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 436.04,High Voltage,blue
1732967459994,2024-11-30 17:20:59.994245,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 436.38,High Voltage,blue
1732967487407,2024-11-30 17:21:27.407109,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 436.42,High Voltage,blue
1732967514799,2024-11-30 17:21:54.799774,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 436.49,High Voltage,blue
1732967542311,2024-11-30 17:22:22.311143,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 436.89,High Voltage,blue
1732967569769,2024-11-30 17:22:49.769982,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 436.89,High Voltage,blue
1732967597249,2024-11-30 17:23:17.249271,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 436.41,High Voltage,blue
1732968116799,2024-11-30 17:31:56.799532,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 438.62,High Voltage,blue
1732968281773,2024-11-30 17:34:41.773375,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 437.52,High Voltage,blue
1732968335210,2024-11-30 17:35:35.211003,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 438.16,High Voltage,blue
1732968362676,2024-11-30 17:36:02.676941,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 438.47,High Voltage,blue
1732969175287,2024-11-30 17:49:35.287548,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 436.38,High Voltage,blue
1732969202784,2024-11-30 17:50:02.784071,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 435.45,High Voltage,blue
1732969433177,2024-11-30 17:53:53.177645,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 435.32,High Voltage,blue
1732969460552,2024-11-30 17:54:20.552692,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 435.48,High Voltage,blue
1732969670062,2024-11-30 17:57:50.063000,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 436.74,High Voltage,blue
1732969697538,2024-11-30 17:58:17.538487,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 436.67,High Voltage,blue
1732970356594,2024-11-30 18:09:16.594443,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a006,voltage: 435.95,High Voltage,blue
1732971043038,2024-11-30 18:20:43.038815,66e03c39431bd909598197d53,b8eb872a-38d0-4ff2-98bf-2b957e61a007,current: 2.02,Healthy current,yellow
